REPORTING_RANGE,COURSE_OFFERING_SEMESTER,INSTRUCTOR,PRIMARY_INSTRUCTOR,CRN,SUBJECT,COURSE_NUMBER,COURSE_SECTION_NUMBER,COURSE_TITLE_SHORT,COURSE_TITLE_LONG,COURSE_COLLEGE,COURSE_COLLEGE_DESC,STUDENT_NAME,STUDENT_ID,STUDENT_COLLEGE,STUDENT_COLLEGE_DESC,STUDENT_CLASSIFICATION_DESC,MAJOR_DESC,REGISTRATION_STATUS_DESC,FINAL_GRADE
Fall 2018 - Fall 2023,Fall 2022,M,Y,40331,BIOL,2330,1,EPIDEMIOLOGY,,NS,School of Natural Sciences,D,1271462,BS,School of Behavior-Social Sci,Senior,Behavioral Neuroscience,Web Registered,A
Fall 2018 - Fall 2023,Fall 2022,N,Y,40452,KINE,3334,1,MUSCULOSKEL ANATOMY/BIOMECH,,NS,School of Natural Sciences,D,1271462,BS,School of Behavior-Social Sci,Senior,Behavioral Neuroscience,Web Registered,A
Fall 2018 - Fall 2023,Fall 2022,N,Y,41102,HDED,1111,2,TOPPER PRIDE,,BS,School of Behavior-Social Sci,E,1300390,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2022,O,Y,40697,ARTS,2399,12,TOPICS IN ART:,FILMMAKING WORKSHOP,HM,School of Arts and Humanities,E,1300390,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,A-
Fall 2018 - Fall 2023,Fall 2022,O,Y,40723,COMM,1317,10,PRESENTATIONAL SPEAKING,,HM,School of Arts and Humanities,E,1300390,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,B
Fall 2018 - Fall 2023,Fall 2022,O,Y,40569,BUSI,1301,2,INTRODUCTION TO BUSINESS,,MB,Bill Munday School of Business,E,1300390,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2022,O,Y,40057,FSEM,1412,3,FR SEMINAR: COMMUNITY,A COMMUNITY OF CONTENT CREATORS,UP,General Education,E,1300390,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,A
Fall 2018 - Fall 2023,Spring 2023,O,Y,60116,ENSP,2324,1,ENVIRONMENTAL SCIENCE,,BS,School of Behavior-Social Sci,E,1300390,MB,Bill Munday School of Business,Freshman,Business Administration,Web Registered,C+
Fall 2018 - Fall 2023,Spring 2023,O,Y,60868,WRIT,1301,9,WRITING AND RHETORIC I,,HM,School of Arts and Humanities,E,1300390,MB,Bill Munday School of Business,Freshman,Business Administration,Web Registered,B-
Fall 2018 - Fall 2023,Spring 2023,P,Y,60355,ECON,2301,1,MICROECONOMICS,,MB,Bill Munday School of Business,E,1300390,MB,Bill Munday School of Business,Freshman,Business Administration,Web Registered,B
Fall 2018 - Fall 2023,Spring 2023,P,Y,60397,MKTG,2301,2,PRINCIPLES OF MARKETING,,MB,Bill Munday School of Business,F,1300390,MB,Bill Munday School of Business,Freshman,Business Administration,Web Registered,B
Fall 2018 - Fall 2023,Spring 2023,Q,Y,60582,MATH,1324,1,MATHEMATICS FOR BUSINESS,,NS,School of Natural Sciences,F,1300390,MB,Bill Munday School of Business,Freshman,Business Administration,Web Registered,C
Fall 2018 - Fall 2023,Fall 2018,Q,Y,40109,GEOG,1303,2,WORLD GEOGRAPHY,,BS,School of Behavior-Social Sci,F,1240976,ED,School of Human Devel and Educ,Junior,Interdisciplinary Studies,Admin Registered,B
Fall 2018 - Fall 2023,Fall 2018,R,Y,41483,POLS,2341,3,COMPARATIVE POLITICS,,BS,School of Behavior-Social Sci,G,1240976,ED,School of Human Devel and Educ,Junior,Interdisciplinary Studies,Admin Registered,B-
Fall 2018 - Fall 2023,Fall 2018,R,Y,41142,MUSI,1281,2,PIANO CLASS I,,HM,School of Arts and Humanities,G,1240976,ED,School of Human Devel and Educ,Junior,Interdisciplinary Studies,Admin Registered,A-
Fall 2018 - Fall 2023,Fall 2018,R,Y,41600,PHIL,2329,9,ETHICAL ANALYSIS,,HM,School of Arts and Humanities,G,1240976,ED,School of Human Devel and Educ,Junior,Interdisciplinary Studies,Admin Registered,B
Fall 2018 - Fall 2023,Fall 2018,R,Y,40881,WRIT,2320,1,GRAMMAR AND STYLE,,HM,School of Arts and Humanities,G,1240976,ED,School of Human Devel and Educ,Junior,Interdisciplinary Studies,Admin Registered,B+
Fall 2018 - Fall 2023,Spring 2019,S,Y,60930,HIST,3301,1,HISTORY OF TEXAS,,BS,School of Behavior-Social Sci,G,1240976,ED,School of Human Devel and Educ,Junior,Interdisciplinary Studies,Web Registered,A-
